Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
36,Cary BM 31374,441.3625,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Cary Brandmeister,,,,
37,Cary BM Slot 2,441.3625,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Cary Brandmeister,,,,
38,KC4WDI Raleigh,441.6,split,446.6,TSQL,77,77,23,NN,23,Tone->Tone,FM,5,,50W,KC4WDI Raleigh,,,,
39,K4ZXX 146.73 DMR,146.73,split,146.13,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Willow Springs EchoLink,,,,
40,K4ZXX 146.73 Ana,146.73,split,146.13,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,50W,Willow Springs EchoLink,,,,
41,K4ZXX 443.425DMR,443.425,split,448.425,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Willow Springs EchoLink,,,,
42,K4ZXX 443.425Ana,443.425,split,448.425,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Willow Springs EchoLink,,,,
43,C440 Fairgrounds,441.725,split,446.725,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,50W,Fairgrounds,,,,
44,C440 HollySprngs,444.325,split,449.325,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,50W,Holly Springs,,,,
45,C440 Cary,444.775,split,449.775,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,50W,Cary,,,,
46,C440 Wendell,444.875,split,449.875,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,50W,Wendell,,,,
47,C440 440.8,440.8,split,445.8,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,50W,Itinerant Tactical portable repeater linkable to Carolina 440,,,,
48,C440 Kipling,443.1,,0.6,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,50W,Chalybeate Spring Kipling,,,,
49,CaryFDBACKUP,856.0625,split,811.0625,TSQL,192.8,192.8,23,NN,23,Tone->Tone,FM,5,,50W,Fire (backup to TRS),,,,
50,CARYPDBACKUP,854.5625,split,809.5625,TSQL,192.8,192.8,23,NN,23,Tone->Tone,FM,5,,50W,Police (backup to TRS),,,,
51,CARYVEHICLE,868.0125,split,823.0125,TSQL,156.7,156.7,23,NN,23,Tone->Tone,FM,5,,50W,Fire Vehicle Repeater,,,,
52,Apex Fire VHF,151.43,split,159.045,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Fire (Backup),,,,
53,Garner Svcs 1,453.325,split,458.325,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Services,,,,
